team,team_key,external_overall_primary_source,external_overall_primary_40_99,external_overall_consensus_40_99,fifa_rank,fifa_points,fifa_overall_40_99,reference_date_fifa,elo_external_rank,elo_external_rating,elo_external_overall_40_99,reference_date_world_football_elo
Bosnia and Herzegovina,bosnia and herzegovina,fifa,81.3,82.95785123966942,64,1387.22,81.3,2026-06-11,59,1616,84.61570247933884,2026-06-15
Honduras,honduras,fifa,81.01904761904763,81.59836678473042,65,1378.97,81.01904761904763,2026-06-11,70,1570,82.17768595041322,2026-06-15
Albania,albania,fifa,80.73809523809524,82.67689885871704,66,1376.03,80.73809523809524,2026-06-11,59,1616,84.61570247933884,2026-06-15
Cabo Verde,cape verde,fifa,80.45714285714286,81.5612160566706,67,1371.11,80.45714285714286,2026-06-11,68,1578,82.66528925619835,2026-06-15
United Arab Emirates,united arab emirates,fifa,80.17619047619047,80.68933490751672,68,1370.47,80.17619047619047,2026-06-11,74,1540,81.20247933884298,2026-06-15
North Macedonia,north macedonia,fifa,79.8952380952381,81.64596615505707,69,1369.16,79.8952380952381,2026-06-11,65,1589,83.39669421487604,2026-06-15
Northern Ireland,northern ireland,fifa,79.61428571428571,81.62739079102715,70,1365.3,79.61428571428571,2026-06-11,64,1605,83.64049586776859,2026-06-15
Jamaica,jamaica,fifa,79.33333333333333,79.78030303030303,71,1357.84,79.33333333333333,2026-06-11,78,1527,80.22727272727272,2026-06-15
Georgia,georgia,fifa,79.05238095238096,82.56544667453758,72,1355.26,79.05238095238096,2026-06-11,54,1654,86.07851239669421,2026-06-15
Ghana,ghana,fifa,78.77142857142857,79.13364817001181,73,1346.88,78.77142857142857,2026-06-11,81,1510,79.49586776859505,2026-06-15
Iceland,iceland,fifa,78.49047619047619,80.21218024399842,74,1342.77,78.49047619047619,2026-06-11,71,1568,81.93388429752065,2026-06-15
Finland,finland,fifa,78.2095238095238,79.46219992129083,75,1341.92,78.2095238095238,2026-06-11,75,1536,80.71487603305786,2026-06-15
Israel,israel,fifa,77.92857142857143,81.75974025974025,76,1333.9,77.92857142857143,2026-06-11,56,1647,85.5909090909091,2026-06-15
Bolivia,bolivia,fifa,77.64761904761905,81.3754624163715,77,1326,77.64761904761905,2026-06-11,58,1621,85.10330578512396,2026-06-15
Kosovo,kosovo,fifa,77.36666666666667,83.18539944903581,78,1319.12,77.36666666666667,2026-06-11,42,1715,89.00413223140495,2026-06-15
Oman,oman,fifa,77.08571428571429,78.0469893742621,79,1306.9,77.08571428571429,2026-06-11,83,1480,79.00826446280992,2026-06-15
Montenegro,montenegro,fifa,76.8047619047619,77.41890987800079,80,1301.98,76.8047619047619,2026-06-11,87,1461,78.03305785123968,2026-06-15
Guinea,guinea,fifa,76.52380952380952,77.40033451397088,81,1295.6,76.52380952380952,2026-06-11,86,1463,78.27685950413223,2026-06-15
Curaçao,curacao,fifa,76.24285714285715,76.28465171192444,82,1294.77,76.24285714285715,2026-06-11,94,1427,76.32644628099173,2026-06-15
Haiti,haiti,fifa,75.96190476190476,78.3383903974813,83,1293.1,75.96190476190476,2026-06-11,75,1536,80.71487603305786,2026-06-15
Syria,syria,fifa,75.68095238095238,77.22270759543485,84,1283.05,75.68095238095238,2026-06-11,84,1479,78.76446280991735,2026-06-15
New Zealand,new zealand,fifa,75.4,78.54504132231405,85,1275.58,75.4,2026-06-11,72,1562,81.69008264462809,2026-06-15
Gabon,gabon,fifa,75.11904761904762,74.8694411648957,86,1272.51,75.11904761904762,2026-06-11,101,1401,74.6198347107438,2026-06-15
Bulgaria,bulgaria,fifa,74.83809523809524,76.31367571822116,87,1271.68,74.83809523809524,2026-06-11,88,1458,77.7892561983471,2026-06-15
Angola,angola,fifa,74.55714285714285,78.00171192443919,88,1265.58,74.55714285714285,2026-06-11,73,1542,81.44628099173553,2026-06-15
Uganda,uganda,fifa,74.27619047619048,74.32611176702085,89,1264.09,74.27619047619048,2026-06-11,102,1394,74.37603305785123,2026-06-15
Zambia,zambia,fifa,73.9952380952381,72.600924832743,90,1255.82,73.9952380952381,2026-06-11,115,1371,71.20661157024793,2026-06-15
China PR,china pr,fifa,73.71428571428572,73.71428571428572,91,1254.81,73.71428571428572,2026-06-11,NA,NA,NA,NA
Bahrain,bahrain,fifa,73.43333333333334,74.27038567493113,92,1254.41,73.43333333333334,2026-06-11,99,1414,75.10743801652893,2026-06-15
Benin,benin,fifa,73.15238095238095,74.00800865800866,93,1252.17,73.15238095238095,2026-06-11,100,1405,74.86363636363637,2026-06-15
Thailand,thailand,fifa,72.87142857142857,72.77042502951593,94,1250.8,72.87142857142857,2026-06-11,109,1376,72.6694214876033,2026-06-15
Palestine,palestine,fifa,72.5904761904762,75.55556867375049,95,1243.71,72.5904761904762,2026-06-11,85,1465,78.52066115702479,2026-06-15
Belarus,belarus,fifa,72.30952380952381,76.146497441952,96,1242.88,72.30952380952381,2026-06-11,79,1522,79.98347107438016,2026-06-15
Guatemala,guatemala,fifa,72.02857142857142,75.64031877213695,97,1238.74,72.02857142857142,2026-06-11,82,1504,79.25206611570248,2026-06-15
Luxembourg,luxembourg,fifa,71.74761904761905,74.6465367965368,98,1232.82,71.74761904761905,2026-06-11,89,1450,77.54545454545455,2026-06-15
Vietnam,vietnam,fifa,71.46666666666667,70.97093663911846,99,1225.68,71.46666666666667,2026-06-11,118,1351,70.47520661157024,2026-06-15
El Salvador,el salvador,fifa,71.18571428571428,70.34285714285714,100,1225.34,71.18571428571428,2026-06-11,121,1342,69.5,2026-06-15
Tajikistan,tajikistan,fifa,70.9047619047619,67.64246359700905,101,1224.19,70.9047619047619,2026-06-11,143,1285,64.3801652892562,2026-06-15
Trinidad and Tobago,trinidad and tobago,fifa,70.62380952380953,72.25611963793781,102,1219.59,70.62380952380953,2026-06-11,103,1386,73.88842975206612,2026-06-15
Mozambique,mozambique,fifa,70.34285714285714,69.92142857142858,103,1218.62,70.34285714285714,2026-06-11,121,1342,69.5,2026-06-15
Madagascar,madagascar,fifa,70.06190476190476,71.6094647776466,104,1202.69,70.06190476190476,2026-06-11,106,1380,73.15702479338843,2026-06-15
Equatorial Guinea,equatorial guinea,fifa,69.78095238095239,71.4689885871704,105,1195.2,69.78095238095239,2026-06-11,106,1380,73.15702479338843,2026-06-15
Kyrgyz Republic,kyrgyz republic,fifa,69.5,69.5,106,1192.16,69.5,2026-06-11,NA,NA,NA,NA
Armenia,armenia,fifa,69.21904761904761,70.57853207398662,107,1189.63,69.21904761904761,2026-06-11,112,1373,71.93801652892562,2026-06-15
Comoros,comoros,fifa,68.93809523809523,70.55995670995671,108,1187.91,68.93809523809523,2026-06-11,111,1374,72.18181818181819,2026-06-15
Kenya,kenya,fifa,68.65714285714286,69.80997638724912,109,1185.08,68.65714285714286,2026-06-11,116,1363,70.96280991735537,2026-06-15
Libya,libya,fifa,68.37619047619047,71.98561589925225,110,1182.08,68.37619047619047,2026-06-11,97,1420,75.59504132231405,2026-06-15
Kazakhstan,kazakhstan,fifa,68.0952380952381,72.3327430145612,111,1180.78,68.0952380952381,2026-06-11,93,1428,76.5702479338843,2026-06-15
Tanzania,tanzania,fifa,67.81428571428572,67.43813459268006,112,1180.27,67.81428571428572,2026-06-11,132,1313,67.06198347107438,2026-06-15
Mauritania,mauritania,fifa,67.53333333333333,67.78526170798898,113,1176.68,67.53333333333333,2026-06-11,128,1329,68.03719008264463,2026-06-15
Niger,niger,fifa,67.25238095238095,70.44850452577725,114,1175.33,67.25238095238095,2026-06-11,105,1382,73.64462809917356,2026-06-15
Lebanon,lebanon,fifa,66.97142857142858,66.1634002361275,115,1172.22,66.97142857142858,2026-06-11,139,1288,65.35537190082644,2026-06-15
The Gambia,the gambia,fifa,66.69047619047619,66.69047619047619,116,1159.64,66.69047619047619,2026-06-11,NA,NA,NA,NA
Sudan,sudan,fifa,66.40952380952382,68.32046438410075,117,1157.22,66.40952380952382,2026-06-11,119,1350,70.23140495867769,2026-06-15
Indonesia,indonesia,fifa,66.12857142857143,68.78949232585597,118,1157.14,66.12857142857143,2026-06-11,113,1372,71.4504132231405,2026-06-15
Togo,togo,fifa,65.84761904761905,69.38042109405745,119,1152.76,65.84761904761905,2026-06-11,108,1379,72.91322314049587,2026-06-15
DPR Korea,dpr korea,fifa,65.56666666666666,65.56666666666666,120,1151.05,65.56666666666666,2026-06-11,NA,NA,NA,NA
Namibia,namibia,fifa,65.28571428571428,65.28571428571428,121,1148.84,65.28571428571428,2026-06-11,NA,NA,NA,NA
Sierra Leone,sierra leone,fifa,65.0047619047619,67.13048012593467,122,1147.56,65.0047619047619,2026-06-11,123,1341,69.25619834710744,2026-06-15
Faroe Islands,faroe islands,fifa,64.72380952380952,69.30611963793783,123,1136.59,64.72380952380952,2026-06-11,103,1386,73.88842975206612,2026-06-15
Cyprus,cyprus,fifa,64.44285714285715,65.87432113341205,124,1133.25,64.44285714285715,2026-06-11,131,1314,67.30578512396694,2026-06-15
Suriname,suriname,fifa,64.16190476190476,70.48797717434081,125,1132.43,64.16190476190476,2026-06-11,92,1431,76.81404958677686,2026-06-15
Azerbaijan,azerbaijan,fifa,63.88095238095238,65.83717040535223,126,1132,63.88095238095238,2026-06-11,129,1322,67.79338842975207,2026-06-15
Estonia,estonia,fifa,63.6,67.1595041322314,127,1130.64,63.6,2026-06-11,117,1360,70.71900826446281,2026-06-15
Rwanda,rwanda,fifa,63.31904761904762,66.04382133018497,128,1126.62,63.31904761904762,2026-06-11,125,1336,68.76859504132231,2026-06-15
Malawi,malawi,fifa,63.03809523809524,62.733923652105474,129,1122.05,63.03809523809524,2026-06-11,151,1239,62.429752066115704,2026-06-15
Zimbabwe,zimbabwe,fifa,62.75714285714286,67.10377804014168,130,1119.78,62.75714285714286,2026-06-11,113,1372,71.4504132231405,2026-06-15
Nicaragua,nicaragua,fifa,62.476190476190474,65.50049193231011,131,1114.63,62.476190476190474,2026-06-11,126,1333,68.52479338842976,2026-06-15
Guinea-Bissau,guinea bissau,fifa,62.195238095238096,62.55629673356946,132,1108.38,62.195238095238096,2026-06-11,150,1248,62.917355371900825,2026-06-15
Kuwait,kuwait,fifa,61.91428571428571,65.09763872491145,133,1106.47,61.91428571428571,2026-06-11,127,1332,68.28099173553719,2026-06-15
Congo,congo,fifa,61.63333333333333,61.42203856749312,134,1105.96,61.63333333333333,2026-06-11,157,1207,61.210743801652896,2026-06-15
Philippines,philippines,fifa,61.352380952380955,60.7939590712318,135,1100.95,61.352380952380955,2026-06-11,161,1179,60.235537190082646,2026-06-15
Malaysia,malaysia,fifa,61.07142857142857,63.579102715466355,136,1086.22,61.07142857142857,2026-06-11,137,1293,66.08677685950414,2026-06-15
Latvia,latvia,fifa,60.79047619047619,63.07292404565132,137,1085.66,60.79047619047619,2026-06-11,139,1288,65.35537190082644,2026-06-15
India,india,fifa,60.50952380952381,59.51922471467926,138,1084.93,60.50952380952381,2026-06-11,168,1128,58.52892561983471,2026-06-15
Central African Republic,central african republic,fifa,60.22857142857143,61.207260920897284,139,1080.82,60.22857142857143,2026-06-11,153,1236,62.18595041322314,2026-06-15
Liberia,liberia,fifa,59.94761904761905,63.26099960645415,140,1080.44,59.94761904761905,2026-06-11,134,1304,66.57438016528926,2026-06-15
Turkmenistan,turkmenistan,fifa,59.666666666666664,60.56060606060606,141,1078.65,59.666666666666664,2026-06-11,156,1209,61.45454545454545,2026-06-15
Burundi,burundi,fifa,59.385714285714286,61.88293978748524,142,1078.01,59.385714285714286,2026-06-11,143,1285,64.3801652892562,2026-06-15
Ethiopia,ethiopia,fifa,59.1047619047619,62.10816607634789,143,1077.52,59.1047619047619,2026-06-11,141,1287,65.11157024793388,2026-06-15
Dominican Republic,dominican republic,fifa,58.82380952380952,61.48008658008658,144,1076.5,58.82380952380952,2026-06-11,145,1283,64.13636363636364,2026-06-15
Yemen,yemen,fifa,58.542857142857144,59.51109799291618,145,1065.24,58.542857142857144,2026-06-11,160,1195,60.47933884297521,2026-06-15
Lesotho,lesotho,fifa,58.26190476190476,59.49252262888626,146,1064.29,58.26190476190476,2026-06-11,159,1198,60.72314049586777,2026-06-15
Botswana,botswana,fifa,57.98095238095238,60.692955529319164,147,1063.63,57.98095238095238,2026-06-11,148,1267,63.404958677685954,2026-06-15
Singapore,singapore,fifa,57.7,58.236363636363635,148,1057.95,57.7,2026-06-11,167,1134,58.77272727272727,2026-06-15
Lithuania,lithuania,fifa,57.41904761904762,60.65580480125934,149,1056.85,57.41904761904762,2026-06-11,146,1279,63.89256198347107,2026-06-15
Guyana,guyana,fifa,57.13809523809524,61.4905352223534,150,1049.32,57.13809523809524,2026-06-11,138,1292,65.84297520661157,2026-06-15
New Caledonia,new caledonia,fifa,56.85714285714286,60.862455726092094,151,1036.95,56.85714285714286,2026-06-11,142,1286,64.86776859504133,2026-06-15
St Kitts and Nevis,st kitts and nevis,fifa,56.576190476190476,56.576190476190476,152,1036.33,56.576190476190476,2026-06-11,NA,NA,NA,NA
Solomon Islands,solomon islands,fifa,56.2952380952381,56.07117276662731,153,1031.89,56.2952380952381,2026-06-11,179,1054,55.84710743801653,2026-06-15
Puerto Rico,puerto rico,fifa,56.01428571428571,57.51540731995277,154,1024.3,56.01428571428571,2026-06-11,165,1135,59.01652892561984,2026-06-15
Fiji,fiji,fifa,55.733333333333334,56.6435261707989,155,1024.17,55.733333333333334,2026-06-11,172,1104,57.553719008264466,2026-06-15
"Hong Kong, China",hong kong china,fifa,55.45238095238095,55.45238095238095,156,1024.16,55.45238095238095,2026-06-11,NA,NA,NA,NA
Tahiti,tahiti,fifa,55.17142857142857,57.58158205430932,157,1019.04,55.17142857142857,2026-06-11,162,1177,59.99173553719008,2026-06-15
Myanmar,myanmar,fifa,54.89047619047619,54.393585202676114,158,1010.91,54.89047619047619,2026-06-11,187,984,53.896694214876035,2026-06-15
Moldova,moldova,fifa,54.60952380952381,59.12914207005116,159,1008.24,54.60952380952381,2026-06-11,147,1270,63.64876033057851,2026-06-15
Vanuatu,vanuatu,fifa,54.32857142857143,56.306847697756794,160,1002.53,54.32857142857143,2026-06-11,169,1118,58.28512396694215,2026-06-15
Malta,malta,fifa,54.04761904761905,58.60438803620622,161,992.79,54.04761904761905,2026-06-11,149,1255,63.16115702479339,2026-06-15
Antigua and Barbuda,antigua and barbuda,fifa,53.766666666666666,52.125068870523414,162,986.58,53.766666666666666,2026-06-11,200,895,50.48347107438016,2026-06-15
Grenada,grenada,fifa,53.48571428571429,55.27591499409681,163,981.82,53.48571428571429,2026-06-11,174,1098,57.06611570247934,2026-06-15
Cuba,cuba,fifa,53.20476190476191,57.8172569854388,164,981.42,53.20476190476191,2026-06-11,151,1239,62.429752066115704,2026-06-15
Eswatini,eswatini,fifa,52.923809523809524,56.335871704053524,165,979.01,52.923809523809524,2026-06-11,163,1148,59.747933884297524,2026-06-15
St Lucia,st lucia,fifa,52.64285714285714,52.64285714285714,166,976.71,52.64285714285714,2026-06-11,NA,NA,NA,NA
Bermuda,bermuda,fifa,52.36190476190476,55.201613537977174,167,975.05,52.36190476190476,2026-06-11,170,1117,58.04132231404959,2026-06-15
Papua New Guinea,papua new guinea,fifa,52.08095238095238,55.54874065328611,168,974.9,52.08095238095238,2026-06-11,165,1135,59.01652892561984,2026-06-15
South Sudan,south sudan,fifa,51.8,54.79876033057851,169,970.94,51.8,2026-06-11,171,1109,57.79752066115702,2026-06-15
St Vincent and the Grenadines,st vincent and the grenadines,fifa,51.51904761904762,51.51904761904762,170,968.27,51.51904761904762,2026-06-11,NA,NA,NA,NA
Afghanistan,afghanistan,fifa,51.23809523809524,51.95789059425423,171,968.07,51.23809523809524,2026-06-11,192,961,52.67768595041322,2026-06-15
Andorra,andorra,fifa,50.957142857142856,53.88972845336482,172,946.43,50.957142857142856,2026-06-11,175,1080,56.82231404958678,2026-06-15
Maldives,maldives,fifa,50.67619047619048,49.60462416371507,173,943.92,50.67619047619048,2026-06-11,209,801,48.53305785123967,2026-06-15
Chinese Taipei,chinese taipei,fifa,50.3952380952381,50.3952380952381,174,923.78,50.3952380952381,2026-06-11,NA,NA,NA,NA
Cambodia,cambodia,fifa,50.114285714285714,50.055076741440374,175,922.32,50.114285714285714,2026-06-11,203,871,49.99586776859504,2026-06-15
Montserrat,montserrat,fifa,49.83333333333333,51.37741046831955,176,916.75,49.83333333333333,2026-06-11,191,972,52.921487603305785,2026-06-15
Nepal,nepal,fifa,49.55238095238095,49.89602518693428,177,914.54,49.55238095238095,2026-06-11,202,893,50.239669421487605,2026-06-15
Mauritius,mauritius,fifa,49.27142857142857,52.68116883116883,178,911.49,49.27142857142857,2026-06-11,176,1073,56.09090909090909,2026-06-15
Barbados,barbados,fifa,48.99047619047619,49.98077528532074,179,909.89,48.99047619047619,2026-06-11,199,898,50.97107438016529,2026-06-15
Belize,belize,fifa,48.70952380952381,52.40021645021645,180,907,48.70952380952381,2026-06-11,176,1073,56.09090909090909,2026-06-15
Bangladesh,bangladesh,fifa,48.42857142857143,50.30932703659977,181,902.93,48.42857142857143,2026-06-11,194,942,52.1900826446281,2026-06-15
Dominica,dominica,fifa,48.147619047619045,49.92504919323101,182,897.69,48.147619047619045,2026-06-11,196,934,51.70247933884298,2026-06-15
Chad,chad,fifa,47.86666666666667,51.978787878787884,183,896.85,47.86666666666667,2026-06-11,176,1073,56.09090909090909,2026-06-15
Eritrea,eritrea,fifa,47.58571428571429,54.27632821723731,184,887.06,47.58571428571429,2026-06-11,158,1201,60.966942148760324,2026-06-15
Laos,laos,fifa,47.304761904761904,47.06560409287682,185,885.03,47.304761904761904,2026-06-11,215,734,46.82644628099173,2026-06-15
Cook Islands,cook islands,fifa,47.023809523809526,45.09661550570642,186,877.53,47.023809523809526,2026-06-11,231,622,43.16942148760331,2026-06-15
Sri Lanka,sri lanka,fifa,46.74285714285714,48.12556080283353,187,876.86,46.74285714285714,2026-06-11,205,836,49.50826446280992,2026-06-15
Samoa,samoa,fifa,46.46190476190476,46.52227469500197,188,876.41,46.46190476190476,2026-06-11,217,728,46.582644628099175,2026-06-15
Aruba,aruba,fifa,46.180952380952384,49.79502164502165,189,875.61,46.180952380952384,2026-06-11,189,978,53.40909090909091,2026-06-15
Mongolia,mongolia,fifa,45.9,46.119421487603304,190,874.47,45.9,2026-06-11,218,726,46.33884297520661,2026-06-15
American Samoa,american samoa,fifa,45.61904761904762,45.61904761904762,191,871.61,45.61904761904762,2026-06-11,NA,NA,NA,NA
Bhutan,bhutan,fifa,45.338095238095235,44.37565918929555,192,870.81,45.338095238095235,2026-06-11,230,623,43.413223140495866,2026-06-15
Macau,macau,fifa,45.05714285714286,45.05714285714286,193,858.03,45.05714285714286,2026-06-11,NA,NA,NA,NA
