competition,year,match_id,date,time,stage,group,team_a,team_b,score_a,score_b,score_status,stadium,city,country,source,source_file,team_a_key,team_b_key,actual_result,is_group_stage,is_knockout_placeholder,odds_match_id,odds_source,odds_aggregate_method,n_bookmakers,odds_team_a,odds_draw,odds_team_b,odds_overround,market_p_a,market_p_d,market_p_b,market_pred_result,external_overall_a,fifa_rank_a,fifa_points_a,fifa_overall_a,elo_external_rank_a,elo_external_rating_a,elo_external_overall_a,external_overall_b,fifa_rank_b,fifa_points_b,fifa_overall_b,elo_external_rank_b,elo_external_rating_b,elo_external_overall_b,elo_pre_a,elo_pre_b,elo_join_direction,external_overall_diff,fifa_rank_diff,fifa_points_diff,elo_external_rating_diff,elo_pre_diff,model_elo_diff,neutral,recent_matches_a,recent_points_per_match_a,recent_goals_for_a,recent_goals_against_a,recent_matches_b,recent_points_per_match_b,recent_goals_for_b,recent_goals_against_b,recent_points_per_match_diff,recent_goals_for_diff,recent_goals_against_diff
FIFA World Cup,2022,WC2022_031,2022-11-23,13:00:00,Group F,Group F,Morocco,Croatia,0,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,morocco,croatia,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,3.44,3.22,2.21,1.0537453684125901,0.27587089170937457,0.29471921350318275,0.42940989478744274,B,95.59722550177096,7,1755.1,97.31428571428572,22,1840,93.8801652892562,96.37622983077527,11,1714.87,96.1904761904762,11,1912,96.56198347107438,1748.083848572412,1813.5524102290433,direct,-0.7790043290043087,-4,40.23000000000002,-72,-65.46856165663121,-65.46856165663121,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_032,2022-11-23,22:00:00,Group F,Group F,Belgium,Canada,1,0,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,belgium,canada,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.57,4.16,5.74,1.0515433184184153,0.6057217653355792,0.22860172393674505,0.16567651072767584,A,96.4133805588351,9,1742.24,96.75238095238096,13,1894,96.07438016528926,90.9034632034632,30,1559.48,90.85238095238095,33,1767,90.95454545454544,1889.80583804613,1704.0877009587778,direct,5.509917355371897,-21,182.76,127,185.71813708735226,185.71813708735226,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_037,2022-11-24,13:00:00,Group G,Group G,Switzerland,Cameroon,1,0,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,switzerland,cameroon,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.8,3.37,4.95,1.054311662620268,0.5269367448471927,0.2814498933901919,0.19161336176261548,A,94.27721369539552,19,1650.06,93.94285714285716,19,1865,94.61157024793388,85.64547422274694,44,1481.24,86.91904761904762,61,1614,84.37190082644628,1794.1334092349323,1663.0607157938132,direct,8.631739472648576,-25,168.81999999999994,251,131.0726934411191,131.0726934411191,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_038,2022-11-24,22:00:00,Group G,Group G,Brazil,Serbia,2,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,brazil,serbia,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.44,4.46,7.08,1.059902628934323,0.6551964543598426,0.2115432498381555,0.1332602958020019,A,97.56621408894136,6,1765.86,97.5952380952381,7,1978,97.53719008264464,88.5896694214876,43,1502.13,87.2,38,1734,89.97933884297521,2013.466858146024,1766.2746830293872,direct,8.976544667453766,-37,263.7299999999998,244,247.1921751166367,247.1921751166367,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_043,2022-11-24,16:00:00,Group H,Group H,Uruguay,South Korea,0,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,uruguay,south korea,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.77,3.46,4.94,1.0564182422504627,0.5347993141512623,0.27358230810628154,0.1916183777424563,A,95.30814639905547,16,1673.07,94.78571428571428,14,1892,95.8305785123967,92.5810507674144,25,1591.63,92.25714285714284,26,1786,92.90495867768595,1825.8583788105536,1798.2140090878002,direct,2.7270956316410775,-9,81.43999999999983,106,27.64436972275348,27.64436972275348,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_044,2022-11-24,19:00:00,Group H,Group H,Portugal,Ghana,3,2,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,portugal,ghana,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.29,5.38,10.4,1.057221250551414,0.7332370570921604,0.17581334640313886,0.09094959650470066,A,97.95049193231011,5,1767.85,97.87619047619047,5,1989,98.02479338842976,79.13364817001181,73,1346.88,78.77142857142857,81,1510,79.49586776859505,1879.4714929889656,1636.4189564632502,direct,18.816843762298305,-68,420.9699999999998,479,243.05253652571537,243.05253652571537,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_003,2022-11-25,16:00:00,Group A,Group A,Qatar,Senegal,1,3,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,qatar,senegal,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,5.44,3.55,1.7,1.0537489643744822,0.17444717444717445,0.26732186732186736,0.5582309582309583,B,80.42463597009052,56,1450.31,83.54761904761905,90,1447,77.30165289256198,94.717217630854,15,1684.07,95.06666666666666,20,1860,94.36776859504133,1685.0831176083193,1716.7836368999988,direct,-14.292581660763474,41,-233.76,-413,-31.700519291679484,-31.700519291679484,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_004,2022-11-25,19:00:00,Group A,Group A,Netherlands,Ecuador,1,1,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,netherlands,ecuador,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.83,3.36,4.75,1.0545934508402153,0.5181599477944112,0.28221211442374183,0.19962793778184687,A,97.1633608815427,8,1753.57,97.03333333333332,8,1944,97.29338842975208,94.20291223927588,23,1598.52,92.81904761904762,15,1890,95.58677685950413,1898.698367296172,1752.679349582612,direct,2.960448642266826,-15,155.04999999999995,54,146.01901771355983,146.01901771355983,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_009,2022-11-25,13:00:00,Group B,Group B,Wales,Iran,0,2,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,wales,iran,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.11,3.16,3.76,1.0563467923001417,0.44865346564562664,0.29957557357983294,0.2517709607745405,A,87.8478158205431,37,1516.95,88.88571428571429,50,1682,86.80991735537191,92.55202676111767,20,1619.58,93.66190476190476,30,1772,91.44214876033058,1714.7947306578517,1798.0011210202872,direct,-4.704210940574569,17,-102.62999999999988,-90,-83.20639036243551,-83.20639036243551,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_010,2022-11-25,22:00:00,Group B,Group B,England,USA,0,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,england,usa,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.46,4.14,7.69,1.056516412272633,0.6482923491704067,0.22862483811323522,0.12308281271635807,A,98.2128689492326,4,1828.02,98.15714285714286,4,2024,98.26859504132231,93.33915781188507,17,1671.23,94.5047619047619,27,1780,92.17355371900828,1891.3093914000883,1790.5639617364832,direct,4.873711137347527,-13,156.78999999999996,244,100.74542966360514,100.74542966360514,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_015,2022-11-26,16:00:00,Group C,Group C,Poland,Saudi Arabia,2,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,poland,saudi arabia,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.7,3.54,5.45,1.0542074083559718,0.5579881999074503,0.2679604349838038,0.17405136510874594,A,88.59779614325069,36,1526.18,89.16666666666667,45,1710,88.02892561983471,82.28217237308147,61,1423.88,82.14285714285714,69,1576,82.42148760330579,1755.6359038732887,1681.5215994407365,direct,6.315623770169225,-25,102.29999999999995,134,74.11430443255222,74.11430443255222,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_016,2022-11-26,22:00:00,Group C,Group C,Argentina,Mexico,2,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,argentina,mexico,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.52,3.89,7.1,1.0558092160050003,0.6231189564071673,0.24348092898172088,0.13340011461111187,A,98.87809917355372,1,1877.27,99,2,2115,98.75619834710744,95.34529712711532,14,1687.48,95.34761904761903,16,1881,95.34297520661156,1941.5727762630363,1775.3429171848147,direct,3.5328020464384053,-13,189.78999999999996,234,166.22985907822158,166.22985907822158,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_021,2022-11-26,13:00:00,Group D,Group D,Tunisia,Australia,0,1,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,tunisia,australia,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.16,3.27,3.51,1.0536736454167646,0.43937984496124033,0.2902325581395349,0.27038759689922487,A,84.77359307359308,45,1476.41,86.63809523809525,67,1585,82.9090909090909,92.66580086580086,27,1579.34,91.6952380952381,23,1839,93.63636363636364,1707.6078674335597,1737.6256709379134,direct,-7.892207792207785,18,-102.92999999999984,-254,-30.01780350435365,-30.01780350435365,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_022,2022-11-26,19:00:00,Group D,Group D,France,Denmark,2,1,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,france,denmark,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.81,3.47,4.67,1.0548033881982837,0.5237812032335325,0.2732115209950126,0.20300727577145478,A,98.47524596615506,3,1870.7,98.43809523809524,3,2063,98.51239669421489,94.1181621408894,21,1619.47,93.38095238095238,17,1869,94.85537190082644,1919.605860257429,1823.7953780804248,direct,4.357083825265661,-18,251.23000000000002,194,95.81048217700413,95.81048217700413,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_027,2022-11-27,13:00:00,Group E,Group E,Japan,Costa Rica,0,1,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,japan,costa rica,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.47,4.15,7.36,1.0571055294826155,0.643523366277808,0.22794683094659704,0.1285298027755948,A,95.27099567099566,18,1661.58,94.22380952380952,12,1910,96.3181818181818,84.25928768201496,53,1456.03,84.39047619047619,62,1608,84.12809917355372,1803.7206354470493,1693.5333669378012,direct,11.011707988980703,-35,205.54999999999995,302,110.18726850924804,110.18726850924804,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_028,2022-11-27,22:00:00,Group E,Group E,Spain,Germany,1,1,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,spain,germany,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.5,3.38,2.79,1.054280927233781,0.3794055167530335,0.2806253822137822,0.3399691010331842,A,98.8595238095238,2,1874.71,98.7190476190476,1,2157,99,96.76050767414404,10,1735.77,96.47142857142858,9,1939,97.04958677685951,1930.0204087954464,1860.9070853834291,direct,2.099016135379756,-8,138.94000000000005,218,69.11332341201728,69.11332341201728,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_033,2022-11-27,16:00:00,Group F,Group F,Belgium,Morocco,0,2,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,belgium,morocco,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.88,3.35,4.41,1.0571797259181008,0.5031451895798355,0.2823620765403255,0.2144927338798391,A,96.4133805588351,9,1742.24,96.75238095238096,13,1894,96.07438016528926,95.59722550177096,7,1755.1,97.31428571428572,22,1840,93.8801652892562,1894.9174014579617,1749.9461949857953,direct,0.8161550570641367,2,-12.8599999999999,54,144.9712064721664,144.9712064721664,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_034,2022-11-27,19:00:00,Group F,Group F,Croatia,Canada,4,1,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,croatia,canada,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.2,3.23,3.47,1.0523274158056146,0.43194299389936064,0.2942026583834655,0.2738543477171739,A,96.37622983077527,11,1714.87,96.1904761904762,11,1912,96.56198347107438,90.9034632034632,30,1559.48,90.85238095238095,33,1767,90.95454545454544,1811.69006381566,1698.976137546946,direct,5.472766627312069,-19,155.38999999999987,145,112.7139262687142,112.7139262687142,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_039,2022-11-28,13:00:00,Group G,Group G,Cameroon,Serbia,3,3,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,cameroon,serbia,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,5.17,3.73,1.69,1.053236088755586,0.18364695223029215,0.25454550751490895,0.561807540254799,B,85.64547422274694,44,1481.24,86.91904761904762,61,1614,84.37190082644628,88.5896694214876,43,1502.13,87.2,38,1734,89.97933884297521,1656.6639500835847,1762.3907003271124,direct,-2.9441951987406583,1,-20.8900000000001,-120,-105.7267502435277,-105.7267502435277,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_040,2022-11-28,19:00:00,Group G,Group G,Brazil,Switzerland,1,0,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,brazil,switzerland,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.47,4.19,7.4,1.054070728465546,0.64537615026444894,0.22642074961545108,0.1282031001201,A,97.56621408894136,6,1765.86,97.5952380952381,7,1978,97.53719008264464,94.27721369539552,19,1650.06,93.94285714285716,19,1865,94.61157024793388,2017.3508408482987,1800.5301749451608,direct,3.289000393545848,-13,115.79999999999995,113,216.82066590313798,216.82066590313798,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_045,2022-11-28,16:00:00,Group H,Group H,South Korea,Ghana,2,3,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,south korea,ghana,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.7,3.07,2.79,1.054526208461272,0.3512196922168505,0.30889028305716504,0.3398900247259844,A,92.5810507674144,25,1591.63,92.25714285714284,26,1786,92.90495867768595,79.13364817001181,73,1346.88,78.77142857142857,81,1510,79.49586776859505,1799.0080031518132,1632.4598497462614,direct,13.447402597402586,-48,244.75,276,166.54815340555183,166.54815340555183,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_046,2022-11-28,22:00:00,Group H,Group H,Portugal,Uruguay,2,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,portugal,uruguay,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.92,3.29,4.34,1.0551994476582673,0.49358757198857856,0.2880511058413589,0.2183613221700624,A,97.95049193231011,5,1767.85,97.87619047619047,5,1989,98.02479338842976,95.30814639905547,16,1673.07,94.78571428571428,14,1892,95.8305785123967,1883.4305997059544,1825.0643847465408,direct,2.642345533254641,-11,94.77999999999997,97,58.36621495941358,58.36621495941358,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_005,2022-11-29,18:00:00,Group A,Group A,Ecuador,Senegal,1,2,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,ecuador,senegal,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.44,3.01,3.18,1.0565273880000643,0.38790860533162586,0.3144508295711519,0.29764056509722236,A,94.20291223927588,23,1598.52,92.81904761904762,15,1890,95.58677685950413,94.717217630854,15,1684.07,95.06666666666666,20,1860,94.36776859504133,1756.650983152743,1725.8737461565638,direct,-0.5143053915781195,8,-85.54999999999995,30,30.777236996179226,30.777236996179226,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_006,2022-11-29,NA,Group A,Group A,Netherlands,Qatar,2,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,netherlands,qatar,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.19,6.81,14.61,1.0556252822524952,0.7960553319267522,0.139105116739036,0.06483955133421185,A,97.1633608815427,8,1753.57,97.03333333333332,8,1944,97.29338842975208,80.42463597009052,56,1450.31,83.54761904761905,90,1447,77.30165289256198,1894.726733726041,1675.9930083517545,reversed,16.73872491145218,-48,303.26,497,218.73372537428645,218.73372537428645,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_011,2022-11-29,22:00:00,Group B,Group B,Wales,England,0,3,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,wales,england,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,8.45,4.35,1.41,1.057448110893565,0.11191395024222021,0.2173960642636232,0.6706899854941566,B,87.8478158205431,37,1516.95,88.88571428571429,50,1682,86.80991735537191,98.2128689492326,4,1828.02,98.15714285714286,4,2024,98.26859504132231,1707.144844361156,1888.4883317692013,direct,-10.365053128689496,33,-311.06999999999994,-342,-181.34348740804535,-181.34348740804535,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
