competition,year,match_id,date,time,stage,group,team_a,team_b,score_a,score_b,score_status,stadium,city,country,source,source_file
FIFA World Cup,2022,WC2022_016,2022-11-26,22:00,Group C,Group C,Argentina,Mexico,2,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_017,2022-11-30,22:00,Group C,Group C,Poland,Argentina,0,2,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_018,2022-11-30,22:00,Group C,Group C,Saudi Arabia,Mexico,1,2,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_019,2022-11-22,16:00,Group D,Group D,Denmark,Tunisia,0,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_020,2022-11-22,22:00,Group D,Group D,France,Australia,4,1,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_021,2022-11-26,13:00,Group D,Group D,Tunisia,Australia,0,1,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_022,2022-11-26,19:00,Group D,Group D,France,Denmark,2,1,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_023,2022-11-30,18:00,Group D,Group D,Australia,Denmark,1,0,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_024,2022-11-30,NA,Group D,Group D,Tunisia,France,1,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_025,2022-11-23,16:00,Group E,Group E,Germany,Japan,1,2,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_026,2022-11-23,19:00,Group E,Group E,Spain,Costa Rica,7,0,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_027,2022-11-27,13:00,Group E,Group E,Japan,Costa Rica,0,1,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_028,2022-11-27,22:00,Group E,Group E,Spain,Germany,1,1,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_029,2022-12-01,22:00,Group E,Group E,Japan,Spain,2,1,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_030,2022-12-01,NA,Group E,Group E,Costa Rica,Germany,2,4,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_031,2022-11-23,13:00,Group F,Group F,Morocco,Croatia,0,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_032,2022-11-23,22:00,Group F,Group F,Belgium,Canada,1,0,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_033,2022-11-27,16:00,Group F,Group F,Belgium,Morocco,0,2,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_034,2022-11-27,19:00,Group F,Group F,Croatia,Canada,4,1,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_035,2022-12-01,18:00,Group F,Group F,Croatia,Belgium,0,0,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_036,2022-12-01,18:00,Group F,Group F,Canada,Morocco,1,2,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_037,2022-11-24,13:00,Group G,Group G,Switzerland,Cameroon,1,0,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_038,2022-11-24,22:00,Group G,Group G,Brazil,Serbia,2,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_039,2022-11-28,13:00,Group G,Group G,Cameroon,Serbia,3,3,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_040,2022-11-28,19:00,Group G,Group G,Brazil,Switzerland,1,0,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_041,2022-12-02,22:00,Group G,Group G,Serbia,Switzerland,2,3,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_042,2022-12-02,22:00,Group G,Group G,Cameroon,Brazil,1,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_043,2022-11-24,16:00,Group H,Group H,Uruguay,South Korea,0,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_044,2022-11-24,19:00,Group H,Group H,Portugal,Ghana,3,2,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_045,2022-11-28,16:00,Group H,Group H,South Korea,Ghana,2,3,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_046,2022-11-28,22:00,Group H,Group H,Portugal,Uruguay,2,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_047,2022-12-02,18:00,Group H,Group H,Ghana,Uruguay,0,2,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_048,2022-12-02,NA,Group H,Group H,South Korea,Portugal,2,1,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_001,2022-12-03,18:00,Round of 16,NA,Netherlands,USA,3,1,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_002,2022-12-03,22:00,Round of 16,NA,Argentina,Australia,2,1,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_003,2022-12-04,18:00,Round of 16,NA,France,Poland,3,1,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_004,2022-12-04,22:00,Round of 16,NA,England,Senegal,3,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_005,2022-12-05,18:00,Round of 16,NA,Japan,Croatia,1,1,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_006,2022-12-05,22:00,Round of 16,NA,Brazil,South Korea,4,1,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_007,2022-12-06,18:00,Round of 16,NA,Morocco,Spain,0,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_008,2022-12-06,22:00,Round of 16,NA,Portugal,Switzerland,6,1,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_009,2022-12-09,18:00,Quarter-finals,NA,Croatia,Brazil,1,1,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_010,2022-12-09,22:00,Quarter-finals,NA,Netherlands,Argentina,2,2,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_011,2022-12-10,18:00,Quarter-finals,NA,Morocco,Portugal,1,0,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_012,2022-12-10,22:00,Quarter-finals,NA,England,France,1,2,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_013,2022-12-13,22:00,Semi-finals,NA,Argentina,Croatia,3,0,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_014,2022-12-14,22:00,Semi-finals,NA,France,Morocco,2,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_015,2022-12-17,18:00,Match for third place,NA,Croatia,Morocco,2,1,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2022,WC2022_016,2022-12-18,18:00,Final,NA,Argentina,France,3,3,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022_finals.txt
FIFA World Cup,2026,WC2026_001,2026-06-11,13:00,Group A,Group A,Mexico,South Africa,2,0,final,NA,Mexico City,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_002,2026-06-11,20:00,Group A,Group A,South Korea,Czech Republic,2,1,final,NA,Guadalajara,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_003,2026-06-18,12:00,Group A,Group A,Czech Republic,South Africa,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_004,2026-06-18,19:00,Group A,Group A,Mexico,South Korea,NA,NA,scheduled,NA,Guadalajara,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_005,2026-06-24,19:00,Group A,Group A,Czech Republic,Mexico,NA,NA,scheduled,NA,Mexico City,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_006,2026-06-24,19:00,Group A,Group A,South Africa,South Korea,NA,NA,scheduled,NA,Monterrey,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_007,2026-06-12,15:00,Group B,Group B,Canada,Bosnia & Herzegovina,1,1,final,NA,Toronto,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_008,2026-06-13,12:00,Group B,Group B,Qatar,Switzerland,1,1,final,NA,Santa Clara,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_009,2026-06-18,12:00,Group B,Group B,Switzerland,Bosnia & Herzegovina,NA,NA,scheduled,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_010,2026-06-18,15:00,Group B,Group B,Canada,Qatar,NA,NA,scheduled,NA,Vancouver,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_011,2026-06-24,12:00,Group B,Group B,Switzerland,Canada,NA,NA,scheduled,NA,Vancouver,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_012,2026-06-24,12:00,Group B,Group B,Bosnia & Herzegovina,Qatar,NA,NA,scheduled,NA,Seattle,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_013,2026-06-13,18:00,Group C,Group C,Brazil,Morocco,1,1,final,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_014,2026-06-13,21:00,Group C,Group C,Haiti,Scotland,0,1,final,NA,Boston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_015,2026-06-19,18:00,Group C,Group C,Scotland,Morocco,NA,NA,scheduled,NA,Boston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_016,2026-06-19,20:30,Group C,Group C,Brazil,Haiti,NA,NA,scheduled,NA,Philadelphia,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_017,2026-06-24,18:00,Group C,Group C,Scotland,Brazil,NA,NA,scheduled,NA,Miami,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_018,2026-06-24,18:00,Group C,Group C,Morocco,Haiti,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_019,2026-06-12,18:00,Group D,Group D,USA,Paraguay,4,1,final,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_020,2026-06-13,21:00,Group D,Group D,Australia,Turkey,2,0,final,NA,Vancouver,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_021,2026-06-19,12:00,Group D,Group D,USA,Australia,NA,NA,scheduled,NA,Seattle,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_022,2026-06-19,20:00,Group D,Group D,Turkey,Paraguay,NA,NA,scheduled,NA,Santa Clara,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_023,2026-06-25,19:00,Group D,Group D,Turkey,USA,NA,NA,scheduled,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_024,2026-06-25,19:00,Group D,Group D,Paraguay,Australia,NA,NA,scheduled,NA,Santa Clara,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_025,2026-06-14,12:00,Group E,Group E,Germany,Curaçao,7,1,final,NA,Houston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_026,2026-06-14,19:00,Group E,Group E,Ivory Coast,Ecuador,1,0,final,NA,Philadelphia,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_027,2026-06-20,16:00,Group E,Group E,Germany,Ivory Coast,NA,NA,scheduled,NA,Toronto,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_028,2026-06-20,19:00,Group E,Group E,Ecuador,Curaçao,NA,NA,scheduled,NA,Kansas City,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_029,2026-06-25,16:00,Group E,Group E,Curaçao,Ivory Coast,NA,NA,scheduled,NA,Philadelphia,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_030,2026-06-25,16:00,Group E,Group E,Ecuador,Germany,NA,NA,scheduled,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_031,2026-06-14,15:00,Group F,Group F,Netherlands,Japan,2,2,final,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_032,2026-06-14,20:00,Group F,Group F,Sweden,Tunisia,5,1,final,NA,Monterrey,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_033,2026-06-20,12:00,Group F,Group F,Netherlands,Sweden,NA,NA,scheduled,NA,Houston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_034,2026-06-20,22:00,Group F,Group F,Tunisia,Japan,NA,NA,scheduled,NA,Monterrey,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_035,2026-06-25,18:00,Group F,Group F,Japan,Sweden,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_036,2026-06-25,18:00,Group F,Group F,Tunisia,Netherlands,NA,NA,scheduled,NA,Kansas City,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_037,2026-06-15,12:00,Group G,Group G,Belgium,Egypt,NA,NA,scheduled,NA,Seattle,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_038,2026-06-15,18:00,Group G,Group G,Iran,New Zealand,NA,NA,scheduled,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_039,2026-06-21,12:00,Group G,Group G,Belgium,Iran,NA,NA,scheduled,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_040,2026-06-21,18:00,Group G,Group G,New Zealand,Egypt,NA,NA,scheduled,NA,Vancouver,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_041,2026-06-26,20:00,Group G,Group G,Egypt,Iran,NA,NA,scheduled,NA,Seattle,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_042,2026-06-26,20:00,Group G,Group G,New Zealand,Belgium,NA,NA,scheduled,NA,Vancouver,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_043,2026-06-15,12:00,Group H,Group H,Spain,Cape Verde,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_044,2026-06-15,18:00,Group H,Group H,Saudi Arabia,Uruguay,NA,NA,scheduled,NA,Miami,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_045,2026-06-21,12:00,Group H,Group H,Spain,Saudi Arabia,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_046,2026-06-21,18:00,Group H,Group H,Uruguay,Cape Verde,NA,NA,scheduled,NA,Miami,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_047,2026-06-26,19:00,Group H,Group H,Cape Verde,Saudi Arabia,NA,NA,scheduled,NA,Houston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_048,2026-06-26,18:00,Group H,Group H,Uruguay,Spain,NA,NA,scheduled,NA,Guadalajara,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_049,2026-06-16,15:00,Group I,Group I,France,Senegal,NA,NA,scheduled,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_050,2026-06-16,18:00,Group I,Group I,Iraq,Norway,NA,NA,scheduled,NA,Boston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_051,2026-06-22,17:00,Group I,Group I,France,Iraq,NA,NA,scheduled,NA,Philadelphia,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_052,2026-06-22,20:00,Group I,Group I,Norway,Senegal,NA,NA,scheduled,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_053,2026-06-26,15:00,Group I,Group I,Norway,France,NA,NA,scheduled,NA,Boston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_054,2026-06-26,15:00,Group I,Group I,Senegal,Iraq,NA,NA,scheduled,NA,Toronto,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_055,2026-06-16,20:00,Group J,Group J,Argentina,Algeria,NA,NA,scheduled,NA,Kansas City,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_056,2026-06-16,21:00,Group J,Group J,Austria,Jordan,NA,NA,scheduled,NA,Santa Clara,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_057,2026-06-22,12:00,Group J,Group J,Argentina,Austria,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_058,2026-06-22,20:00,Group J,Group J,Jordan,Algeria,NA,NA,scheduled,NA,Santa Clara,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_059,2026-06-27,21:00,Group J,Group J,Algeria,Austria,NA,NA,scheduled,NA,Kansas City,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_060,2026-06-27,21:00,Group J,Group J,Jordan,Argentina,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_061,2026-06-17,12:00,Group K,Group K,Portugal,DR Congo,NA,NA,scheduled,NA,Houston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_062,2026-06-17,20:00,Group K,Group K,Uzbekistan,Colombia,NA,NA,scheduled,NA,Mexico City,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_063,2026-06-23,12:00,Group K,Group K,Portugal,Uzbekistan,NA,NA,scheduled,NA,Houston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_064,2026-06-23,20:00,Group K,Group K,Colombia,DR Congo,NA,NA,scheduled,NA,Guadalajara,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
