reference_date,team,country_code,confederation,rank,previous_rank,points,previous_points,matches,source,source_url,source_api_url,source_schedule_id,collection_status,collected_at
2026-06-11,Croatia,CRO,UEFA,11,11,1714.87,1717.07,48,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Italy,ITA,UEFA,12,12,1704.73,1700.37,44,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Colombia,COL,CONMEBOL,13,13,1698.35,1693.09,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Mexico,MEX,CONCACAF,14,15,1687.48,1681.03,66,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Senegal,SEN,CAF,15,14,1684.07,1688.99,71,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Uruguay,URU,CONMEBOL,16,17,1673.07,1673.07,41,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,USA,USA,CONCACAF,17,16,1671.23,1673.13,61,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Japan,JPN,AFC,18,18,1661.58,1660.43,53,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Switzerland,SUI,UEFA,19,19,1650.06,1649.4,47,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,IR Iran,IRN,AFC,20,21,1619.58,1615.3,48,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Denmark,DEN,UEFA,21,20,1619.47,1620.81,43,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Türkiye,TUR,UEFA,22,22,1605.73,1599.04,45,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Ecuador,ECU,CONMEBOL,23,23,1598.52,1594.78,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Austria,AUT,UEFA,24,24,1597.4,1593.45,42,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Korea Republic,KOR,AFC,25,25,1591.63,1588.66,55,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Nigeria,NGA,CAF,26,26,1585.02,1585.09,61,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Australia,AUS,AFC,27,27,1579.34,1580.67,45,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Algeria,ALG,CAF,28,28,1571.03,1564.26,64,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Egypt,EGY,CAF,29,29,1562.37,1563.24,53,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Canada,CAN,CONCACAF,30,30,1559.48,1556.48,50,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Norway,NOR,UEFA,31,31,1557.44,1550.94,39,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Ukraine,UKR,UEFA,32,32,1549.29,1546.88,40,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Côte d'Ivoire,CIV,CAF,33,34,1540.87,1532.98,56,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Panama,PAN,CONCACAF,34,33,1539.16,1540.64,52,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Russia,RUS,UEFA,35,36,1529.6,1525.6,27,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Poland,POL,UEFA,36,35,1526.18,1528,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Wales,WAL,UEFA,37,37,1516.95,1524.29,41,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Sweden,SWE,UEFA,38,38,1509.79,1514.77,42,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Hungary,HUN,UEFA,39,42,1506.39,1500.58,43,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Czechia,CZE,UEFA,40,41,1505.74,1501.38,42,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Paraguay,PAR,CONMEBOL,41,40,1505.35,1503.5,38,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Scotland,SCO,UEFA,42,43,1503.34,1498.35,43,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Serbia,SRB,UEFA,43,39,1502.13,1508.65,45,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Cameroon,CMR,CAF,44,45,1481.24,1481.24,49,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Tunisia,TUN,CAF,45,44,1476.41,1483.05,50,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Congo DR,COD,CAF,46,46,1474.43,1478.35,54,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Slovakia,SVK,UEFA,47,48,1473.66,1473.94,43,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Greece,GRE,UEFA,48,47,1473.19,1475.82,39,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Venezuela,VEN,CONMEBOL,49,49,1469.18,1468.05,41,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Uzbekistan,UZB,AFC,50,50,1458.73,1465.34,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Chile,CHI,CONMEBOL,51,54,1458.2,1455.28,41,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Peru,PER,CONMEBOL,52,53,1457.69,1455.87,41,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Costa Rica,CRC,CONCACAF,53,51,1456.03,1459.9,49,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Romania,ROU,UEFA,54,56,1455.89,1451.16,44,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Mali,MLI,CAF,55,52,1455.59,1459.13,49,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Qatar,QAT,AFC,56,55,1450.31,1454.96,59,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Iraq,IRQ,AFC,57,57,1446.28,1447.14,53,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Republic of Ireland,IRL,UEFA,58,59,1441.1,1436.63,41,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Slovenia,SVN,UEFA,59,58,1441.09,1446.44,43,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,South Africa,RSA,CAF,60,60,1428.38,1429.73,67,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Saudi Arabia,KSA,AFC,61,61,1423.88,1421.43,63,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Burkina Faso,BFA,CAF,62,62,1406.99,1412.49,51,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Jordan,JOR,AFC,63,63,1387.74,1391.45,50,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Bosnia and Herzegovina,BIH,UEFA,64,65,1387.22,1385.84,37,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Honduras,HON,CONCACAF,65,66,1378.97,1380.27,47,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Albania,ALB,UEFA,66,64,1376.03,1388.06,42,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Cabo Verde,CPV,CAF,67,69,1371.11,1366.13,43,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,United Arab Emirates,UAE,AFC,68,68,1370.47,1370.47,48,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,North Macedonia,MKD,UEFA,69,67,1369.16,1372.04,39,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Northern Ireland,NIR,UEFA,70,70,1365.3,1362.16,37,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Jamaica,JAM,CONCACAF,71,71,1357.84,1358,53,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Georgia,GEO,UEFA,72,72,1355.26,1350.18,41,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Ghana,GHA,CAF,73,74,1346.88,1346.31,53,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Iceland,ISL,UEFA,74,75,1342.77,1345.07,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Finland,FIN,UEFA,75,73,1341.92,1346.41,42,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Israel,ISR,UEFA,76,77,1333.9,1328.33,36,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Bolivia,BOL,CONMEBOL,77,76,1326,1329.42,42,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Kosovo,KOS,UEFA,78,78,1319.12,1318.83,38,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Oman,OMA,AFC,79,79,1306.9,1313.46,56,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Montenegro,MNE,UEFA,80,81,1301.98,1295.52,40,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Guinea,GUI,CAF,81,80,1295.6,1300.01,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Curaçao,CUW,CONCACAF,82,82,1294.77,1294.65,31,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Haiti,HAI,CONCACAF,83,83,1293.1,1291.71,33,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Syria,SYR,AFC,84,84,1283.05,1288.56,39,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,New Zealand,NZL,OFC,85,85,1275.58,1281.57,36,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Gabon,GAB,CAF,86,87,1272.51,1272.51,34,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Bulgaria,BUL,UEFA,87,86,1271.68,1278.9,39,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Angola,ANG,CAF,88,89,1265.58,1263.1,63,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Uganda,UGA,CAF,89,88,1264.09,1264.09,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Zambia,ZAM,CAF,90,92,1255.82,1255.82,53,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,China PR,CHN,AFC,91,94,1254.81,1251.6,39,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Bahrain,BHR,AFC,92,91,1254.41,1258.53,50,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Benin,BEN,CAF,93,90,1252.17,1258.98,40,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Thailand,THA,AFC,94,93,1250.8,1252.14,59,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Palestine,PLE,AFC,95,95,1243.71,1244.73,35,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Belarus,BLR,UEFA,96,97,1242.88,1235.82,39,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Guatemala,GUA,CONCACAF,97,96,1238.74,1243.47,48,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Luxembourg,LUX,UEFA,98,98,1232.82,1227.77,40,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Vietnam,VIE,AFC,99,99,1225.68,1225.68,44,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,El Salvador,SLV,CONCACAF,100,100,1225.34,1225.26,37,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
